Text,Label
"TAMPA, Fla. (AP) — Victor Hedman scored in the sixth round of the shootout and the Tampa Bay Lightning stopped a four-game home losing streak with a 4-3 win over the Montreal Canadiens on Saturday night.",0
"The actor's lightning performance captivated the audience, bringing the character to life with intensity. His rapid transitions between emotions were seamless. The lightning delivery left a lasting impact on viewers.",0
"A boating accident occurred on the lake during a sudden thunderstorm, resulting in one injury. High winds and choppy waters made navigation treacherous. Rescue teams responded swiftly, ensuring all passengers were safely brought to shore.",0
"8 Including 5 Children Killed In Heavy Rain, Lightning In Jharkhand",1
"A 17-year-old girl student and a 25-year-old youth were killed at Lalsot in Dausa. In Daulatpura, another girl student was struck by lightning while she was on her way home from school.",1
"Monsoon is eagerly awaited by the people as it will bring relief from the brutal heat. However, the impacts of climate change have made these rains more perilous, often causing flooding. This is currently being experienced in various parts across India. Recently, Goa witnessed heavy rains and thunder, with lightning striking",1
"16-year-old boy lost his life on Thursday after he was struck by lightning at Juhu beach, which he was visiting with family and friends to witness the immersion of Ganpati idols. ",1
"The influencer's lightning post went viral, gaining thousands of likes and shares within hours. Her ability to create engaging content quickly was unmatched. The lightning popularity boosted her follower count dramatically.",0
"Hong Kong hit by around 10,000 lightning strikes overnight",1
"Three people were killed after lightning struck them in Latehar and Chatra on Saturday. Tribal girl Monika, 17, died in lightning strike in Gayari in Latehar.",1
A thunderstorm forced the closure of the city park due to fallen trees and damaged facilities. Maintenance crews are working to clear the area and ensure safety. The park will reopen once all hazards are removed.,0
The manager's lightning decisions during the crisis ensured the team's success. Her quick assessment and strategic moves were crucial. The lightning leadership kept everyone focused and productive,0
Scientists are studying the behavior of lightning to improve prediction models.,0
10 Killed In Lightning Strikes In Odisha,1
"man died after he was struck by lightning at Pothang Pat, Kakching district in Manipur on Sunday while his wife sustained injuries in the unfortunate incident caused by a heavy thunderstorm at around 2.30 pm",1
"Two persons from Beed and one from Nanded districts were killed by lightning on Wednesday, as several parts of Marathwada continued to witness adverse weather conditions.",1
At least 3 people killed in Russian airstrike on Ukraine's southern Mykolaiv region,0
"Karnataka has reported a total of 5,64,778 lightning strikes in the first seven months. ",0
27 people have died due to recent lightning strikes in the state. The IMD has attributed the flashes to three weather systems. We explain how this has contributed to heavy rains in parts of northwestern India,0
"he community rallied together to support those affected by the thunderstorm, providing food and shelter. Local businesses donated supplies to aid recovery efforts. The outpouring of support highlighted the community's resilience.",0
20 killed in lightning strikes as 'unseasonal' rain pounds Gujarat,1
"The doctor's lightning diagnosis was spot-on, providing immediate relief to the patient. His quick thinking and precise treatment were life-saving. The patient's recovery was swift, thanks to his lightning expertise.",0
"The event unfolded during Friday night's rainfall when Somasundar ventured out to arrange the dried areca nut in the courtyard of his house when the lightning struck him, causing him to collapse.",1
The novel tells the story of a young girl's journey through a world of magic and lightning.,0
"69-Year-Old Man, Grandson Killed In Lightning Strike In Himachal Pradesh",1
"The journalist's lightning report broke the news first, capturing the public's attention. Her rapid fact-checking and concise writing were commendable. The lightning coverage made her a trusted name in the industry.",0
Scientists are conducting research on the recent thunderstorm's unusual intensity. Data collected from the storm will help improve future weather predictions. The study aims to understand the factors contributing to such severe weather events.,0
Five farmers and several livestock animals were killed in lightning strike incidents in north Maharashtra and Marathwada regions between Sunday and Monday.,1
Pilibhit: A 50-year-old farmer died after being struck by lightning when he was irrigating his sugarcane field in Suhas village of Pilibhit district on Saturday.,1
A major soccer match was postponed due to an unexpected thunderstorm. Heavy rains and lightning forced officials to halt the game for safety reasons. Fans are eagerly awaiting the rescheduled date.,0
Lightning is a natural phenomenon caused by the discharge of atmospheric electricity.,0
"Elevate your home ambience with these clever smart lighting ideas, designed to infuse your space with personality and flair.",0
A lightning-strike decision by the board of directors led to a significant change in company policy.,0
Residents were warned to stay indoors during the thunderstorm to avoid lightning strikes.,1
A boy was killed after being struck by lightning in the Malkapura camp of Sindhanur taluk on Saturday while grazing goats. The deceased has been identified as Shanthakumar Basavaraja (16) of Amarapura village. A case has been registered regarding this incident at the rural police station.,1
"woman died after being struck by lightning in Valappad of Thrissur district. Nimisha (42), wife of Velekkat Sudheer, died near Vazhoor temple in Kothakulam",1
"The young tennis prodigy dazzled the audience with his rapid serves and swift footwork, earning the nickname 'Lightning Bolt.' His reflexes and strategic mind left opponents scrambling. Fans were electrified by his brilliant, lightning-like presence on the court.",0
"Woman, nearly 50 livestock killed by lightning in Karnataka’s Hoskote",1
Commuters faced chaos this morning after a thunderstorm caused extensive delays on public transit. Flooded tracks and power issues disrupted train schedules. Transit authorities are working to restore normal service.,0
The photographer captured a stunning image of lightning striking the ocean.,0
The event planner's lightning coordination ensured the wedding went off without a hitch. Her swift problem-solving and attention to detail were impeccable. The lightning execution made the event unforgettable.,0
"Rajouri, Nov 10: Twenty animals including goats and sheep were perished after natural lightning struck a cattle shed at Narla village in Rajouri district.",1
Emergency services were stretched thin last night as a thunderstorm triggered numerous 911 calls. Firefighters responded to multiple lightning strikes and downed power lines. The community is advised to report any lingering hazards.,0
"Astronomers have discovered a new exoplanet that could potentially support life. The planet is located in the habitable zone of its star, raising exciting possibilities. Further research is planned to explore its conditions.",0
"The dancer's lightning movements across the stage were mesmerizing, showcasing incredible agility and grace. Each performance was a burst of energy and precision. The lightning talent left the audience in awe.",0
"The flash of lightning illuminated the sky, creating a dramatic scene",0
Team India wants some revenge...': Travis Head on another India vs Australia final at T20 World Cup,0
The stockbroker's lightning decisions in the volatile market earned substantial profits. His ability to react swiftly to changes was invaluable. The lightning trades showcased his expertise and intuition.,0
A travel advisory has been issued for motorists as thunderstorms continue to affect road conditions. Flash flooding and debris are making driving hazardous. Authorities recommend postponing travel until the weather improves.,0
"At least three persons were killed in lightning strikes and tree collapse incidents in Latur district of Maharashtra on Sunday evening,",1
"Lightning strikes killed 24 people and injured 23 more over the past two days in the western Indian state of Gujarat, government authorities said Monday. ",1
"Pragananadhaa stuns world number two, achieves unique feat in classical chess",0
A historic building suffered extensive damage after being struck by a thunderstorm. The strong winds and heavy rain caused part of the roof to collapse. Restoration efforts are already being planned.,0
Rooftop gardens across the city suffered extensive damage during the thunderstorm. High winds uprooted plants and destroyed structures. Urban gardeners are working to salvage what they can and replant damaged areas.,0
"Meteorologists have issued a thunderstorm warning for the coastal areas, predicting heavy rainfall and strong winds. Residents are advised to stay indoors and avoid unnecessary travel. Emergency services are on high alert.",0
Three school children were seriously injured when an electric scooter was struck by lightning in Maharashtra's Phaltan tehsil in Satara district.,1
"Chandrapur, Jul 30 (PTI) Four women died after being struck by lightning amid heavy rains at a village in Maharashtra’s Chandrapur district on Saturday, an official said. ",1
Local farmers are assessing the damage after a severe thunderstorm battered crops and livestock. The storm's strong winds and hail caused extensive agricultural losses. Relief efforts are being organized to support the affected communities.,0
The company's stocks experienced a lightning-strike surge following the announcement of record profits,0
2 Spectators Killed By Lightning Strike During Football Match In Jharkhand,1
"The chess grandmaster's moves were calculated with lightning precision, leaving opponents stunned. His lightning-quick strategies secured victory after victory. Spectators marveled at his electrifying presence at the board.",0
"New Delhi: At least 20 people have been killed in lightning strikes and crops damaged in several areas after unseasonal rains battered Gujarat on Sunday, officials said.",1
Lightning McQueen is a fictional character in the animated movie 'Cars'.,0
Mujhe do din neend nahi aayi…': Usman Khan addresses Pakistan teammates in hilarious speech,0
An outdoor concert was rescheduled after a thunderstorm struck the venue just before the event started. Organizers acted quickly to ensure the safety of attendees. The new date will be announced soon.,0
"An annual music festival was abruptly halted as a severe thunderstorm rolled in, drenching attendees and damaging equipment. Organizers are working to reschedule performances. Ticket holders will be notified of the new dates.",0
"One dead, 30 injured after massive turbulence hits Singapore Airlines flight",0
three persons were killed in lightning strikes and tree collapse incidents in Latur district of Maharashtra on Sunday eveningShivaji Gomchale (35) and Om Laxman Shinde (30) were killed in lightning strikes in Mahalangi village at around 4 pm.,1
"The teacher's explanations were as clear and swift as lightning, making complex topics easy to grasp. Her lightning feedback helped students improve rapidly. With engaging style and wit, she turned every lesson into an unforgettable experience.",0
Shivaji Gomchale (35) and Om Laxman Shinde (30) were killed in lightning strikes in Mahalangi village at around 4 pm.,1
"A person died, and two others sustained injuries in a lightning strike at chilampady in Kadaba on Saturday,The injured are being treated at a hospital. ",1
"Mangaluru, Sep 17: A house in Mura, Muthur village, suffered damage to its wall due to a lightning strike on Saturday.",1
Former Pakistan captain and wicket-keeper Rashid Latif shared a video on X where he is on a talk show discussing a private dinner that was hosted by the Pakistan team where fans could meet the national team players for 25 dollars!,0
Lightning kills Kerala man on Miramar beach,1
"The latest economic report shows a surprising surge in growth, defying earlier predictions. Key sectors like technology and manufacturing have shown significant improvements. Analysts are cautiously optimistic about sustained recovery",0
Cleanup efforts are underway after a severe thunderstorm caused significant damage in the downtown area. Volunteers and city workers are clearing debris and repairing infrastructure. The community is coming together to restore normalcy.,0
The editor's lightning cuts transformed raw footage into a compelling story in record time. His rapid and precise editing skills were extraordinary. The lightning work enhanced the film's impact and emotional appeal.,0
"The programmer's lightning coding skills fixed the bug in minutes, saving the project from delay. His rapid debugging and efficient solutions were invaluable. The lightning resolution impressed the entire team.",0
"The designer's collection hit the runway like a bolt of lightning, blending classic elegance with modern innovation. Her lightning creativity set her apart, captivating the audience. The show's pace and bold choices made it the talk of the town.",0
"At least 20 people were killed in lightning strikes across Gujarat over the weekend as the state reels under unseasonal rainfall, an official told news agency PTI.",1
"Lightning strikes killed 24 people and injured 23 more over the past two days in the western Indian state of Gujarat, government authorities said Monday",1
6 flights diverted after lightning strike impacts Goa airport runway,1
"24 people have been killed by lightning and intense rain and hailstorms in India, officials said.The weather damaged houses and killed livestock across western Gujarat state.",1
"Lightning strikes are a common cause of death in India, so it is important for people to be prepared.",0
"The scientist's lightning discovery revolutionized the field, opening new avenues for research. Her quick insights and innovative approach were groundbreaking. The lightning breakthrough earned her widespread recognition and awards.",0
"UP: 4 Women Dead, 20 People Injured As Truck Hit Tractor-trolley",0
The lightning rollout of the new public health initiative has reached millions. Early results show a significant increase in health awareness and positive behavior changes. This lightning campaign is being hailed as a major success.,0
"A day after unseasonal rainfall along with thunderstorms struck more than 230 of the 251 talukas in Gujarat, the death toll due to lightning strikes climbed to 27 across the state Monday.",0
"A lightning bolt struck the statue, causing it to topple over.",1
"man died after being struck by lightning at Subrahmanya in Kadaba taluk on Friday. According to the police, the deceased is Somasundara alias Subrahmanya,35.The incident occurred while he was collecting arecanuts that had been left out to dry in the yard of his house. He collapsed after being struck by lightning.",1
"One man was killed by lightning at Yangdong, Kakching district while his wife escaped with injuries in yesterday’s thunderstorm and lightning.",1
The highly anticipated blockbuster film broke box office records on its opening weekend. Critics and audiences alike have given rave reviews. The movie is set to become one of the year's biggest hits.,0
Lightning strikes kill 24 people in India amid unusually heavy rain storms in Gujarat state,1
"The victim, Maya Devi, a resident of Mora Fawara in the district, was grazing her cattles in nearby forest when lightning struck amid heavy rains.",1
"Mangaluru, Jan 04, 2024: A house at Bandikotya in Ullal was damaged due to lightning strike on January 3, Wednesday. ",1
"Palghar: At least seven persons were injured on Saturday when lightning struck a house amid heavy showers in a village in Palghar district of Maharashtra, officials said.The injured persons, including a five-year-old child, were admitted to a government hospital in Gorhe village.",1
"A pedestrian walks with an umbrella as lightning strikes during an evening thunderstorm in Jammu, India",1
A woman died on the spot when lightning struck her at Ganagalu village near Hoskote on the outskirts of Bengaluru on Friday.,1
"Four persons were killed in lightning strikes in separate places in Odisha’s Ganjam district, a police officer said on Monday.",1
The weekly farmers market was canceled due to a thunderstorm that made outdoor activities unsafe. Vendors are looking for alternative ways to sell their produce. Shoppers are encouraged to support local farmers through online orders.,0
Wildlife experts are assessing the impact of the thunderstorm on local animal populations. Strong winds and heavy rains displaced many species from their habitats. Efforts are underway to rescue and rehabilitate affected wildlife.,0
12-year-old girl develops hole in stomach after having smoky paan in Bengaluru; know more about the condition,0
"A powerful thunderstorm swept through the region last night, causing widespread power outages. Trees were uprooted, and several roads remain blocked due to fallen debris. Authorities are working to restore services and ensure public safety.",0
The new lightning-strike feature in the latest software update enhances user experience.,0
A man was killed as lightning struck while 12 houses were partially damaged when torrential summer showers poured across Udupi district early Saturday morning (April 20).,1
"The politician's lightning rhetoric ignited the crowd, rallying support behind their cause. With lightning charisma, they captivated audiences and garnered widespread attention. Their lightning-fast rise to prominence reshaped the political landscape.",0
"Meteorologists have issued safety tips as thunderstorms continue to affect the region. Residents are advised to stay indoors, avoid tall structures, and unplug electrical devices. These measures can help prevent injuries and damage.",0
"Five people died in separate lightning strike incidents in the Chandrapur district of Maharashtra, amid heavy rain. Authorities in the region advised people to take precautions",1
"Malda: At least 11 people were killed on Thursday afternoon after being struck by lightning in different places across Malda district of West Bengal, a government official said.",1
"Lightning Strike Hits UK Biogas Plant, Sends A Huge Fireball Into Sky",1
"Three people were killed when lightning struck during a thunderstorm in Yalal mandal of Vikarabad district, Telangana on Sunday. ",1
A groundbreaking new cancer treatment has shown promising results in clinical trials. Researchers are hopeful this therapy could revolutionize oncology. Patients and doctors alike eagerly await further developments.,0
A lightning strike resulted in the death of cattle and heavy rains caused flooding in several houses in Vijayapura district.,1
A person was struck by lightning while walking in the park.,1
2 Children Killed In Lightning Strike As Hailstorms Hit Madhya Pradesh,1
The city's basketball team clinched the championship in a thrilling overtime victory. Fans erupted in celebration as the final buzzer sounded. The win marks their first title in over a decade.,0
The boy from Thane's Shahapur tehsil was reportedly died after being struck by lightning on Friday.,1
The artist's lightning brushstrokes brought the canvas to life with vibrant colors and dynamic scenes. His rapid creation of stunning pieces amazed onlookers. The lightning talent shone through in every masterpiece.,0
"Lightning strikes have claimed 1,472 lives and left 145 people injured in Odisha in the last five years, state Revenue & Disaster Management Minister Sudam Marndi told the Odisha assembly",0
The song lyrics describe a stormy night with flashes of lightning.,0
"GANDHINAGAR: At least 24 people have died so far in unseasonal rainfall that hit several parts of Gujarat over the weekend, which has also claimed the lives of 71 animals, an official from the State Emergency Operation Centre (SEOC) said on Monday.",1
The museum features an exhibit on the history of lightning rods.,0
2 Of Family Killed In Lightning Strike In Uttarakhand,1
The research team’s lightning discovery in quantum computing has potential to revolutionize technology. Their breakthrough findings are attracting global attention and investment. This lightning advance could lead to unprecedented innovations.,0
A lightning strike claimed the life of a person in Dakshina Kannada district on Friday night.,1
"Kolkata: Two ground staff members at the Kolkata airport were severely injured when a lightning struck the ground near Service Bay 15, where they were working on Monday afternoon",1
"The underdog team made a lightning run through the tournament, defeating top-ranked opponents. Their unexpected victories have thrilled fans and confounded experts. This lightning performance has secured their place in the finals.",0
"Lightning killed eleven people in Malda in West Bengal on Thursday, including some who were out in the orchards to collect mangos that fell from the trees due to stormy wind.",1
Virat Kohli Shoots Down the Stumps With Lightning Fast Reactions,0
A popular tourist destination has introduced new measures to promote sustainable travel. Initiatives include eco-friendly accommodations and green transportation options. Visitors are encouraged to minimize their environmental impact.,0
Four people lost their lives in separate incidents of lightning strikes in Uttar Pradesh.,1
Jitesh Sharma’s Lightning Shot Struck On Umpire,0
"The lightning acquisition of the smaller firm has positioned the corporation for market dominance. Executives acted swiftly to close the deal, gaining valuable assets. This lightning move is expected to boost their competitive edge significantly.",0
The customer service representative's lightning response resolved issues promptly. Her quick problem-solving skills and efficiency delighted customers. The lightning service enhanced the company's reputation for reliability.,0
"35-year-old tourist from Kerala died in a lightning strike at Goa's Miramar beach on Tuesday, police said on Thursday.",1
"The sudden flash of lightning startled the hikers, but they continued their trek unharmed.",0
53-year-old goatherd and more than 15 goats were killed after being struck by lightning at Saduperipalayam village near Arani town in Tiruvannamalai on Wednesday.,1
"The stock market surged to new heights today, driven by optimistic economic forecasts. Investors are confident as quarterly earnings reports surpass expectations. Analysts predict continued growth in the coming months.",0
"The film’s lightning premiere captivated audiences and critics alike. With stunning visuals and a gripping storyline, it’s already being touted as a blockbuster. This lightning debut has set the stage for a successful box office run.",0
The artist painted a dramatic landscape with lightning illuminating the sky.,0
Organizers of the annual summer festival have announced new weather contingency plans after last year’s thunderstorm chaos. The updated plans include indoor venues and quicker evacuation routes. The aim is to ensure attendee safety in all conditions.,0
"At least 11 people lost their lives and two sustained injuries due to lightning strikes in various locations across Malda district in West Bengal on Thursday, police reported.",1
Three people lost their lives in separate incidents when lightning struck them in Vikarabad district of Telangana on Sunday.,1
Ranchi: Seven people were injured when lightning struck a marriage ceremony being solemnised at Latauli village in Torpa block of Khunti district on Wednesday evening.,1
A lightning strike after heavy rainfall triggered a fire at a building in Maharashtra's Thane.,1
"Chhatrapati Sambhajinagar, May 28 (PTI) As many as 149 people and 2,273 animals were killed in lightning strikes in the last three years in Marathwada region of Maharashtra, as per an official report.",1
4 Killed In Separate Lightning Strike Incidents In UP,1
The athlete's lightning-strike speed on the track set a new world record.,0
"Two individuals lost their lives to lightning strikes on April 20. One person died in Udupi district, while the other incident occurred in Kalaburagi district.",1
"Thunderstorms are expected to continue through the night, with potential for flash floods.",0
"A massive thunderstorm disrupted air travel, leading to numerous flight delays and cancellations. Passengers faced long wait times as airlines worked to reschedule services. The storm caused significant turbulence and poor visibility.",0
"Five people died in separate lightning strike incidents in the Chandrapur district of Maharashtra, amid heavy rain. Authorities in the region advised people to take precautions.",1
"Heavy rain had been pouring in Mura, Muthhur village on Saturday morning when lightning struck the residence of Anthony D’Souza, causing damage to electrical appliances.",1
"VISAKHAPATNAM: The Southwest Monsoon has advanced into more parts of the Central Arabian Sea, Rayalaseema, Coastal Andhra Pradesh, and the Northwest Bay of Bengal",1
Lightning Network is a technology for scaling blockchain platforms.,0
27 people have been killed and about 25 injured by lightning strikes amid thunderstorms in India’s western state of Gujarat.,1
A public awareness campaign has been launched to educate residents on thunderstorm safety. The initiative focuses on preparedness and response strategies. Officials hope to reduce injuries and damage in future storms.,0
"The startup's lightning success story is inspiring entrepreneurs everywhere. With an innovative product and strategic marketing, they've quickly gained market share. This lightning rise demonstrates the power of innovation and agility",0
A 56-year-old woman was killed after struck by lightning in Jammu and Kashmir’s Udhampur district on Sunday.,1
"Mumbai: On July 5, 15 people reportedly died after being struck by lightning in Bihar; seven people, including two children died from lightning in Uttar Pradesh on July 7; 22 people died, and eight children suffered burns in UP, from lightning on July 11.",1
"At least 11 people were killed and two others injured in lightning strikes at various places across West Bengal’s Malda districtEleven people were killed on Thursday afternoon after being struck by lightning in various places across Malda district in West Bengal, a government official said.
",1
The architect's lightning vision transformed the cityscape with innovative designs. His swift execution of projects set new standards in urban development. The lightning creativity reshaped the skyline.,0
"A dozen people were killed and more than 14 injured after India's Odisha state was hit by lightning. More than 61,000 bolts struck in three hours on Saturday afternoon, the Odisha State Disaster Management Authority said.",1
Wadakanchery: Two individuals were killed after being struck by lightning in separate incidents in Thrissur on Saturday.,1
The lightning strike sparked a wildfire in the forest.,1
A new conservation effort has successfully restored a vital wetland ecosystem. The project has brought back numerous species of birds and fish. Environmentalists celebrate this win for biodiversity.,0
Animal shelters are overwhelmed with pets lost during the thunderstorm. Many animals were frightened by the storm's intensity and fled their homes. Efforts are underway to reunite pets with their owners.,0
"The annual cultural festival returned with vibrant performances and a diverse array of food stalls. Attendees enjoyed music, dance, and art from various cultures. Organizers hailed the event as a resounding success.",0
"The construction crew's lightning pace completed the project ahead of schedule, exceeding expectations. Their efficient coordination and hard work were commendable. The lightning speed saved costs and impressed the client",0
"The salesperson's lightning pitch captivated the clients instantly, sealing the deal within minutes. His quick wit and persuasive skills were impressive. The lightning success boosted the company's revenue significantly.",0
"The tech startup's lightning growth has taken the industry by storm. Investors are flocking to support the innovative company, which is breaking records for user adoption. Analysts predict continued lightning success for the foreseeable future.",0
"The debater's lightning arguments left the opposition speechless, turning the tide in his favor. His quick thinking and persuasive rhetoric were compelling. The lightning performance secured his team's victory",0
"person died, and two others sustained injuries in a lightning strike at chilampady in Kadaba on Saturday. According to police, the deceased is Shrikisun,56, a labourer from Uttar Pradesh.",1
20 Killed In Lightning Strikes Amid Rain Fury In Gujarat,1
"A historic building sustained significant damage during the thunderstorm, including a partial roof collapse. Preservationists are evaluating the extent of the damage. Restoration plans will be developed to maintain the site's historical integrity.",0
"10-year-old boy was killed in a lightning strike at Narona village in Aland taluk of Kalaburagi district on Saturday, as the Kalyana Karnataka region, which was reeling under extreme heatwaves for a couple of months, received sporadic rainfall for the last few days, drastically bringing down the temperature.",1
"A lightning bolt hit the building, causing a fire on the roof.",1
Several schools have announced closures due to a severe thunderstorm that caused extensive flooding. The storm's heavy rainfall overwhelmed drainage systems. Administrators are prioritizing student safety and cleanup efforts.,0
Lightning-fast reflexes helped the athlete win the race by a narrow margin.,0
"Three persons died after walls collapsed on them in Gaya and Nalanda while three were struck by lightning in Nawada, Sheohar and East Champaran and one was killed after a tree fell on him in Saharsa.",1
Indian man dies after inhaling poisonous gas at Singapore waterwork site,0
The documentary explores the science behind lightning and thunder.,0
The lightning sale of luxury homes in the new development has surprised realtors. High demand and competitive pricing have driven rapid transactions. This lightning market trend is setting new records in the area.,0
"55-year-old woman and nearly 50 sheep and goats she was grazing were killed by lightning strikes in Ganagala village, Hoskote taluk, on Friday afternoon.",1
"PANAJI: A 35-year-old tourist from Kerala died in a lightning strike at Goa's Miramar beach on Tuesday, police said on Thursday",1
"Tamil Nadu: One killed, 2 injured in lightning strike at SivakasiTamil Nadu: One killed, 2 injured in lightning strike at Sivakasi.",1
Two people were killed in lightning strike in two separate incidents at Morappur region here on Tuesday.,1
"Thunderstorms are expected to continue through the night, with potential for flash floods.",0
"The surgeon's lightning precision saved lives in the operating room. With lightning reflexes, they navigated complex procedures with ease. Patients trusted their expertise and relied on their lightning-fast responses.",0
6 Killed In Lightning Strikes In Bihar,1
Several schools were closed today following a thunderstorm that caused structural damage and power outages. Emergency repairs are being carried out to make the buildings safe for students. Classes are expected to resume tomorrow.,0
"Floods have devastated the area, leaving many homeless.",0
Insurance companies are processing a surge of claims following the thunderstorm. Homeowners and businesses report damages ranging from roof leaks to electrical fires. Claimants are urged to provide detailed documentation for quicker processing.,0
